title,mp3_url,pdf_url
23. Говорим о фотоаппарате,https://russianpodcast.eu/wa_files/23__20Taking_20pictures.mp3,https://russianpodcast.eu/wa_files/23__20Taking_20pictures.pdf
24. Пишем открытку,https://russianpodcast.eu/wa_files/24__20Writing_20a_20postcard.mp3,https://russianpodcast.eu/wa_files/24__20Writing_20a_20postcard.pdf
25. Готовимся к экзамену,https://russianpodcast.eu/wa_files/25__20Preparing_20an_20exam.mp3,https://russianpodcast.eu/wa_files/25__20Preparing_20an_20exam.pdf
26. Покупаем одежду,https://russianpodcast.eu/wa_files/26__20Buying_20clothes.mp3,https://russianpodcast.eu/wa_files/26__20Buying_20clothes.pdf
27. В аптеке,https://russianpodcast.eu/wa_files/27__20Going_20to_20the_20drugstore.mp3,https://russianpodcast.eu/wa_files/27__20Going_20to_20the_20drugstore.pdf
28. В кафе Петербурга,https://russianpodcast.eu/wa_files/28__20Saint_20Peterburg.mp3,https://russianpodcast.eu/wa_files/28__20Saint_20Petersburg.pdf
29. Нервный пассажир,https://russianpodcast.eu/wa_files/29__20At_20the_20airport.mp3,https://russianpodcast.eu/wa_files/29__20At_20the_20airport.pdf
30. Деловой договор,https://russianpodcast.eu/wa_files/30__20Signing_20a_20business_20contract.mp3,https://russianpodcast.eu/wa_files/30__20Signing_20a_20business_20contract.pdf
31. Путешествуем на поезде,https://russianpodcast.eu/wa_files/31__20Buying_20train_20tickets.mp3,https://russianpodcast.eu/wa_files/31__20Buying_20train_20tickets.pdf
32. Александр Пушкин,https://russianpodcast.eu/wa_files/32__20Alexandre_20Pouchkine.mp3,https://russianpodcast.eu/wa_files/32__20Alexandre_20Pouchkine.pdf
33. Интервью с Кристиной: au pair,https://russianpodcast.eu/wa_files/33__20Interview_20with_20Kristina.mp3,https://russianpodcast.eu/wa_files/33__20Interview_20with_20Kristina.pdf
34. Интервью с бабушкой – КГБ,https://russianpodcast.eu/wa_files/34__20Interview_20with_20Tatiana_27s_20babuchka.mp3,https://russianpodcast.eu/wa_files/34__20Interview_20with_20babuchka.pdf
35. Интервью с Алиной – Владивосток,https://russianpodcast.eu/wa_files/35__20Interview_20with_20Alina.mp3,https://russianpodcast.eu/wa_files/35__20Interview_20with_20Alina.pdf
36. Поговорим о праздниках,https://russianpodcast.eu/wa_files/36__20Russian_20Holidays.mp3,https://russianpodcast.eu/wa_files/36__20Russian_20Holidays.pdf
"37. Северодвинск, северное сияние, белые ночи",https://russianpodcast.eu/wa_files/37__20Interview_20with_20Svetlana_Severodvinsk_Northen_20Lights.mp3,https://russianpodcast.eu/wa_files/37__20Interview_20with_20Svetlana.pdf
38. Глаголы движения,https://russianpodcast.eu/wa_files/38__20Mouvement_20verbs.mp3,https://russianpodcast.eu/wa_files/38__20Mouvement_20verbs.pdf
39. Идём к парикмахеру,https://russianpodcast.eu/wa_files/39__20Going_20to_20the_20hairdresser_20.mp3,https://russianpodcast.eu/wa_files/39__20Going_20to_20the_20hairdresser.pdf
40. Какая религия лучше?,https://russianpodcast.eu/wa_files/40__20Religion.mp3,https://russianpodcast.eu/wa_files/40__20Religion.pdf
41. Покупаем машину,https://russianpodcast.eu/wa_files/41__20Buying_20a_20car.mp3,https://russianpodcast.eu/wa_files/41__20Buying_20a_20car.pdf
42. Помогите!,https://russianpodcast.eu/wa_files/42__20Help_20me_21.mp3,https://russianpodcast.eu/wa_files/42__20Help_20me_21.pdf
43. Сидим в интернете,https://russianpodcast.eu/wa_files/43__20Surfing_20the_20Internet.mp3,https://russianpodcast.eu/wa_files/43__20Surfing_20the_20Internet.pdf
44. Школа в России,https://russianpodcast.eu/wa_files/44__20Russian_20School.mp3,https://russianpodcast.eu/wa_files/44__20Russian_20School.pdf
45. Вежливо отказываемся,https://russianpodcast.eu/wa_files/45__20Turning_20down_20politely.mp3,https://russianpodcast.eu/wa_files/45__20Turning_20down_20politely.pdf
46. Рождество и Новый Год в России,https://russianpodcast.eu/wa_files/46__20Russian_20Christmas_20and_20New_20Year.mp3,https://russianpodcast.eu/wa_files/46__20Russian_20Christmas.pdf
47. Осмотр у врача,https://russianpodcast.eu/wa_files/47__20Going_20to_20the_20doctor_27s.mp3,https://russianpodcast.eu/wa_files/47__20Going_20to_20the_20doctor_27s.pdf
48. Правительство Российской Федерации,https://russianpodcast.eu/wa_files/48__20Russian_20Government.mp3,https://russianpodcast.eu/wa_files/48__Russian_20Government.pdf
49. Неопределённые местоимения,https://russianpodcast.eu/wa_files/49__20Indefinite_20Pronouns.mp3,https://russianpodcast.eu/wa_files/49__20Indefinite_20Pronouns.pdf
50. Чебурашка,https://russianpodcast.eu/wa_files/50__20Cheburashka_21.mp3,https://russianpodcast.eu/wa_files/50__20Cheburashka_21.pdf
51. Свадьба,https://russianpodcast.eu/wa_files/51__20Russian_20wedding.mp3,https://russianpodcast.eu/wa_files/51__20Wedding.pdf
52. Русская еда,https://russianpodcast.eu/wa_files/52__20Russian_20food.mp3,https://russianpodcast.eu/wa_files/52__20Russian_20food.pdf
53. Угрожаем,https://russianpodcast.eu/wa_files/53__20Threats.mp3,https://russianpodcast.eu/wa_files/53__20Threats.pdf
54. Стереотипы о России,https://russianpodcast.eu/wa_files/54__20Stereotypes_20about_20Russia.mp3,https://russianpodcast.eu/wa_files/54__20Stereotypes_20about_20Russia.pdf
55. У ювелира,https://russianpodcast.eu/wa_files/55__20Jeweller.mp3,https://russianpodcast.eu/wa_files/55__20Jeweller.pdf
56. Население России,https://russianpodcast.eu/wa_files/56__20Population_20of_20Russia.mp3,https://russianpodcast.eu/wa_files/56__20Population_20of_20Russia.pdf
57. Описываем вкус еды,https://russianpodcast.eu/wa_files/57__20Describing_20food_20taste.mp3,https://russianpodcast.eu/wa_files/57__20Describing_20food_20taste.pdf
58. Озеро Байкал,https://russianpodcast.eu/wa_files/58__20Lake_20Baikal.mp3,https://russianpodcast.eu/wa_files/58__20Lake_20Baikal.pdf
59. Заказываем гида,https://russianpodcast.eu/wa_files/59__20Asking_20for_20a_20tour_20guide.mp3,https://russianpodcast.eu/wa_files/59__20Asking_20for_20a_tour_20guide.pdf
60. Русская дача,https://russianpodcast.eu/wa_files/60__20Russian_20Dacha.mp3,https://russianpodcast.eu/wa_files/60__20Russian_20Dacha.pdf
61. Смотрим квартиру,https://russianpodcast.eu/wa_files/61__20Looking_20for_20a_20flat.mp3,https://russianpodcast.eu/wa_files/61__Looking_for_a_flat.pdf
62. Русские суеверия,https://russianpodcast.eu/wa_files/62__20Russian_20Superstitions.mp3,https://russianpodcast.eu/wa_files/62__20Russian_20Superstitions.pdf
63. Идём в цирк,https://russianpodcast.eu/wa_files/63__20Going_20to_20Circus.mp3,https://russianpodcast.eu/wa_files/63__20Going_20to_20the_20circus.pdf
64. Русский алфавит,https://russianpodcast.eu/wa_files/64__20Russian_20alphabet.mp3,https://russianpodcast.eu/wa_files/64__20Russian_20alphabet.pdf
65. Говорим о футболе,https://russianpodcast.eu/wa_files/65__20Talking_20about_20football.mp3,https://russianpodcast.eu/wa_files/65__20Talking_20about_20football.pdf
66. Волга,https://russianpodcast.eu/wa_files/66__20Volga.mp3,https://russianpodcast.eu/wa_files/66__20Volga.pdf
67. На пляже,https://russianpodcast.eu/wa_files/67__20On_20the_20beach.mp3,https://russianpodcast.eu/wa_files/67__20On_20the_20beach.pdf
68. Третьяковская Галерея,https://russianpodcast.eu/wa_files/68__20Tretyakov_20Gallery.mp3,https://russianpodcast.eu/wa_files/68__20Tretyakov_20Gallery.pdf
69. Покупаем очки,https://russianpodcast.eu/wa_files/69__20Buying_20glasses.mp3,https://russianpodcast.eu/wa_files/69__20Buying_20glasses.pdf
70. Антон Чехов,https://russianpodcast.eu/wa_files/70__Anton_Chekhov.mp3,https://russianpodcast.eu/wa_files/70__20Anton_20Chekhov.pdf
71. На почте,https://russianpodcast.eu/wa_files/71__20At_20the_20post_20office.mp3,https://russianpodcast.eu/wa_files/71__20At_20the_20post_20office.pdf
72. Жизнь студентов в СССР 1,https://russianpodcast.eu/wa_files/72__20Interview_20with_20Svetlana_20Part_201.mp3,https://russianpodcast.eu/wa_files/72__20Interview_20with_20Svetlana_20Part_201.pdf
73. Жизнь студентов в СССР 2,https://russianpodcast.eu/wa_files/73__20Interview_20with_20Svetlana_20Part_202.mp3,https://russianpodcast.eu/wa_files/73__20Interview_20with_20Svetlana_20Part_202.pdf
74. Святой Георгий,https://russianpodcast.eu/wa_files/74__20Saint_20George.mp3,https://russianpodcast.eu/wa_files/74__20Saint_20George.pdf
75. Лев Толстой,https://russianpodcast.eu/wa_files/75_Leo_20Tolstoy.mp3,https://russianpodcast.eu/wa_files/75__20Leo_20Tolstoy.pdf
76. Интервью с Эммой – Казаки 1,https://russianpodcast.eu/wa_files/76__20Interview_20with_20Emma_20PART_201.mp3,https://russianpodcast.eu/wa_files/76__20Interview_20with_20Emma_201.pdf
77. Интервью с Эммой – Казаки 2,https://russianpodcast.eu/wa_files/77__20Interview_20with_20Emma_20PART_202.mp3,https://russianpodcast.eu/wa_files/77__20_20Interview_20with_20Emma_202.pdf
78. Михаил Лермонтов,https://russianpodcast.eu/wa_files/78__20Mikhail_20Lermontov.mp3,https://russianpodcast.eu/wa_files/78__20Mikhail_20Lermontov.pdf
79. В лес за грибами,https://russianpodcast.eu/wa_files/79__20Mushrooms.mp3,https://russianpodcast.eu/wa_files/79__20Mushrooms.pdf
80. Русская баня,https://russianpodcast.eu/wa_files/80__20Russian_20Bania_21.mp3,https://russianpodcast.eu/wa_files/80__20Russian_20Bania_21.pdf
81. Виды оплаты,https://russianpodcast.eu/wa_files/81__20Ways_20to_20pay.mp3,https://russianpodcast.eu/wa_files/81__20Ways_20to_20pay.pdf
82. Советские фильмы о любви,https://russianpodcast.eu/wa_files/82__20Soviet_20Romance_20Movies.mp3,https://russianpodcast.eu/wa_files/82__20Soviet_20Romance_20Movies.pdf
83. У зубного врача,https://russianpodcast.eu/wa_files/83__20At_20the_20dentist_27s.mp3,https://russianpodcast.eu/wa_files/83__20At_20the_20dentist_27s.pdf
84. Рабочий день,https://russianpodcast.eu/wa_files/84__20Working_20day.mp3,https://russianpodcast.eu/wa_files/84__20Working_20day.pdf
85. Домашние животные,https://russianpodcast.eu/wa_files/85__20Domesticated_20animals.mp3,https://russianpodcast.eu/wa_files/85__20Domesticated_20animals.pdf
86. Пикник,https://russianpodcast.eu/wa_files/86__20Picnic.mp3,https://russianpodcast.eu/wa_files/86__20Picnic.pdf
87. Пряности и специи,https://russianpodcast.eu/wa_files/87__20Spices.mp3,https://russianpodcast.eu/wa_files/87__20Spices.pdf
88. С днём рождения!,https://russianpodcast.eu/wa_files/88__20Happy_20birthday_21.mp3,https://russianpodcast.eu/wa_files/88__20Happy_20birthday_21.pdf
89. Слушаем радио,https://russianpodcast.eu/wa_files/89__20Radio.mp3,https://russianpodcast.eu/wa_files/89__20Radio.pdf
90. Северный Кавказ,https://russianpodcast.eu/wa_files/90__20North_20Caucasus.mp3,https://russianpodcast.eu/wa_files/90__20North_20Caucasus.pdf
91. Интервью с Мариной – Украина 1,https://russianpodcast.eu/wa_files/91__20Interview_20with_20Marina_201.mp3,https://russianpodcast.eu/wa_files/91__20Interviw_20with_20Maryna_201.pdf
92. Интервью с Мариной – Украина 2,https://russianpodcast.eu/wa_files/92__20Interview_20with_20Maryna_202.mp3,https://russianpodcast.eu/wa_files/92__20Interview_20with_20Maryna_20II.pdf
93. Интервью с Алекси – Дагестан 1,https://russianpodcast.eu/wa_files/93__20Interview_20with_20Alexis_20I.mp3,https://russianpodcast.eu/wa_files/93__20Interview_20with_20Alexis_20I.pdf
94. Интервью с Алекси – Дагестан 2,https://russianpodcast.eu/wa_files/94__20Interview_20with_20Alexis_20II.mp3,https://russianpodcast.eu/wa_files/94__20Interview_20with_20Alexis_20II.pdf
95. Интервью с Люсьяной – Армения 1,https://russianpodcast.eu/wa_files/95__20Interview_20with_20Lussiana_20I.mp3,https://russianpodcast.eu/wa_files/95__20Interview_20with_20Lussiana_20I.pdf
96. Интервью с Люсьяной – Армения 2,https://russianpodcast.eu/wa_files/96__20Interview_20with_20Lussiana_20II.mp3,https://russianpodcast.eu/wa_files/96__20Interview_20with_20Lussiana_20II.pdf
97. Интервью с Аликом – Грузия 1,https://russianpodcast.eu/wa_files/97__20Interview_20with_20Alik_20I.mp3,https://russianpodcast.eu/wa_files/97__20Interview_20with_20Alik_20I.pdf
98. Интервью с Аликом – Грузия 2,https://russianpodcast.eu/wa_files/98__20Interview_20with_20Alik_20II.mp3,https://russianpodcast.eu/wa_files/98__20Interview_20with_20Alik_20II.pdf
99. Покупаем женскую обувь,https://russianpodcast.eu/wa_files/99__20Buying_20women_27s_20shoes.mp3,https://russianpodcast.eu/wa_files/99__20Buying_20women_27s_20shoes.pdf
100. Вопросы – Ответы с Татьяной,https://russianpodcast.eu/wa_files/100__20Russian_20Language_20Podcast_20N_C2_B0100.mp3,https://russianpodcast.eu/wa_files/100__20Russian_20Language_20Podcast_20N_C2_B0100_21.pdf
101. Катюша (песня),https://russianpodcast.eu/wa_files/101__20Katiousha.mp3,https://russianpodcast.eu/wa_files/101__20Katiousha.pdf
102. Канцтовары,https://russianpodcast.eu/wa_files/102__20Stationery.mp3,https://russianpodcast.eu/wa_files/102__20Stationery.pdf
103. Покупаем SIM–карту,https://russianpodcast.eu/wa_files/103__20Buying_20a_20SIM_20card.mp3,https://russianpodcast.eu/wa_files/103__20Buying_20a_20SIM_20card.pdf
104. Торгуемся,https://russianpodcast.eu/wa_files/104__20Haggling_20in_20Russian.mp3,https://russianpodcast.eu/wa_files/104__20Haggling_20in_20Russian.pdf
105. Говорим о времени,https://russianpodcast.eu/wa_files/105__20Talking_20about_20time.mp3,https://russianpodcast.eu/wa_files/105__20Talking_20about_20time.pdf
106. Песня крокодила Гены,https://russianpodcast.eu/wa_files/106__20Crocodil_20Gena_27s_20Song.mp3,https://russianpodcast.eu/wa_files/106__20Crocodile_20Gena_27s_20Song.pdf
107. Стоим в очереди,https://russianpodcast.eu/wa_files/107_Standing_in_line.mp3,https://russianpodcast.eu/wa_files/107__20Standing_20in_20line.pdf
108. Откуда Вы?,https://russianpodcast.eu/wa_files/108__20Where_20are_20you_20from.mp3,https://russianpodcast.eu/wa_files/108__20Where_20are_20you_20from.pdf
109. Недовольный клиент,https://russianpodcast.eu/wa_files/109__20Addressing_20an_20angry_20client.mp3,https://russianpodcast.eu/wa_files/109__20Addressing_20an_20angry_20client.pdf
110. Интервью с Марией – Литва 1,https://russianpodcast.eu/wa_files/110__20Interview_20with_20Marija_20Lithuania_201.mp3,https://russianpodcast.eu/wa_files/110__20Interview_20with_20Marija_20Lithuania.pdf
111. Интервью с Марией – Литва 2,https://russianpodcast.eu/wa_files/111__20Interview_20with_20Marija_20Lithuania_202.mp3,https://russianpodcast.eu/wa_files/111__20Interview_20with_20Marija_20Lithuania_202.pdf
112. Живопись,https://russianpodcast.eu/wa_files/112__20Talking_20about_20painting.mp3,https://russianpodcast.eu/wa_files/112__20Talking_20about_20painting.pdf
113. Сидим с детьми,https://russianpodcast.eu/wa_files/113__20Baby-sitting.mp3,https://russianpodcast.eu/wa_files/113__20Baby-sitting.pdf
114. Просыпайся!,https://russianpodcast.eu/wa_files/114__20Wake_20up_21.mp3,https://russianpodcast.eu/wa_files/114__20Wake_20up_21.pdf
115. Неудачный флирт,https://russianpodcast.eu/wa_files/115__20Flirting_20in_20Russian.mp3,https://russianpodcast.eu/wa_files/115__20Flirting.pdf
116. Пить или не пить?,https://russianpodcast.eu/wa_files/116__20Getting_20drunk.mp3,https://russianpodcast.eu/wa_files/116__20Getting_20drunk.pdf
117. Голосуем,https://russianpodcast.eu/wa_files/117__20Voting.mp3,https://russianpodcast.eu/wa_files/117__20Voting.pdf
118. Играем в шахматы,https://russianpodcast.eu/wa_files/118__20Playing_20chess.mp3,https://russianpodcast.eu/wa_files/118__20Playing_20chess.pdf
119. Вызываем пожарных,https://russianpodcast.eu/wa_files/119__20Calling_20Fire_20Brigade.mp3,https://russianpodcast.eu/wa_files/119__20Calling_20Fire_20Brigade.pdf
120. Гагарин – Выступление перед стартом 1,https://russianpodcast.eu/wa_files/120__20Yuri_20Gagarin_27s_20Speech_201.mp3,https://russianpodcast.eu/wa_files/120__20Gagarin_27s_20Spech_201.pdf
121. Гагарин – Выступление перед стартом 2,https://russianpodcast.eu/wa_files/121__20Yuri_20Gagarin_27s_20speech_202.mp3,https://russianpodcast.eu/wa_files/121__20Yuri_20Gagarin_27s_20speech_202.pdf
122. Юрий Левитан : Объявление о начале войны,https://russianpodcast.eu/wa_files/122__20Levitan_20The_20Beginning_20of_20the_20War.mp3,https://russianpodcast.eu/wa_files/122__20Levitan_20The_20Beginning_20of_20the_20War.pdf
123. Юрий Левитан : Объявление о конце войны,https://russianpodcast.eu/wa_files/123__20Yuri_20Levitan_20End_20of_20the_20War.mp3,https://russianpodcast.eu/wa_files/123__20Yuri_20Levitan_20End_20of_20the_20War.pdf
124. Ленин: Что такое Советская власть? 1,https://russianpodcast.eu/wa_files/124__20Vladimir_20Lenin_20What_20is_20soviet_20power_201.mp3,https://russianpodcast.eu/wa_files/124__20Vladimir_20Lenin_20What_20is_20Soviet_20Power.pdf
125. Ленин: Что такое Советская власть? 2,https://russianpodcast.eu/wa_files/125__20Vladimir_20Lenin_20What_20is_20Soviet_20Power_202.mp3,https://russianpodcast.eu/wa_files/125__20Vladimir_20Lenin_20What_20is_20Soviet_20Power_202.pdf
126. Борис Ельцин изучает русский язык,https://russianpodcast.eu/wa_files/126__20Boris_20Yeltsine_20studying_20English.mp3,https://russianpodcast.eu/wa_files/126__20Boris_20Yeltsin_20studying_20_20English.pdf
127. В баре,https://russianpodcast.eu/wa_files/127__20In_20the_20bar.mp3,https://russianpodcast.eu/wa_files/127__20In_20the_20bar.pdf
128. Говорим о долгах,https://russianpodcast.eu/wa_files/128__20Talking_20about_20debts.mp3,https://russianpodcast.eu/wa_files/128__20Talking_20about_20debts.pdf
129. Ткани,https://russianpodcast.eu/wa_files/129__20Fabrics.mp3,https://russianpodcast.eu/wa_files/129__20Fabrics.pdf
130. Описываем вора,https://russianpodcast.eu/wa_files/130__20Describing_20a_20thief.mp3,https://russianpodcast.eu/wa_files/130__20Describing_20a_20thief.pdf
131. Математические операции,https://russianpodcast.eu/wa_files/131__20Maths.mp3,https://russianpodcast.eu/wa_files/131__20Maths.pdf
132. В магазине косметики,https://russianpodcast.eu/wa_files/132__20Cosmetics.mp3,https://russianpodcast.eu/wa_files/132__20Cosmetics.pdf
133. Русские песни о любви 1,https://russianpodcast.eu/wa_files/133__20Russian_20Love_20Songs_201.mp3,https://russianpodcast.eu/wa_files/133__20Russian_20Love_20Songs_201.pdf
134. Русские песни о любви 2,https://russianpodcast.eu/wa_files/134__20Russian_20Love_20Songs_202.mp3,https://russianpodcast.eu/wa_files/134__20Russian_20Love_20Songs_202.pdf
135. Русские песни о любви 3,https://russianpodcast.eu/wa_files/135__20Russian_20Love_20Songs_203.mp3,https://russianpodcast.eu/wa_files/135__20Russian_20Love_20Songs_203.pdf
136. Русские песни о любви 4,https://russianpodcast.eu/wa_files/136__20Russian_20Love_20Songs_204.mp3,https://russianpodcast.eu/wa_files/136__20Russian_20Love_20Songs_204.pdf
137. Русские песни о любви 5,https://russianpodcast.eu/wa_files/137__20Russian_20Love_20Songs_205.mp3,https://russianpodcast.eu/wa_files/137__20Russian_20Love_20Songs_205.pdf
138. Рыбалка,https://russianpodcast.eu/wa_files/138__20Fishing.mp3,https://russianpodcast.eu/wa_files/138__20Fishing.pdf
139. Столовые приборы,https://russianpodcast.eu/wa_files/139__20Cutlery.mp3,https://russianpodcast.eu/wa_files/139__20Cutlery.pdf
140. Описываем лицо,https://russianpodcast.eu/wa_files/140__20Describing_20a_20face.mp3,https://russianpodcast.eu/wa_files/140__20Describing_20a_20face.pdf
141. Описываем небо,https://russianpodcast.eu/wa_files/141__20Describing_20the_20sky.mp3,https://russianpodcast.eu/wa_files/141__20Describing_20the_20sky.pdf
142. Это круто,https://russianpodcast.eu/wa_files/142__20Informal_20Russian_201_20COOL_21.mp3,https://russianpodcast.eu/wa_files/142__20Informal_20Russian_201_20Happy_20words.pdf
143. Отстой,https://russianpodcast.eu/wa_files/143__20Informal_20Russian_202_20RUBBISH_21.mp3,https://russianpodcast.eu/wa_files/143__20Informal_20Russian_202_20RUBBISH_21.pdf
144. Крутой чувак,https://russianpodcast.eu/wa_files/144__20Informal_20Russian_203.mp3,https://russianpodcast.eu/wa_files/144__20Informal_20Russian_203.pdf
145. Команды для собаки,https://russianpodcast.eu/wa_files/145__20Canine_20Instruction.mp3,https://russianpodcast.eu/wa_files/145__20Canine_20Instructions.pdf
146. В хлебном отделе,https://russianpodcast.eu/wa_files/146__20In_20the_20bakery.mp3,https://russianpodcast.eu/wa_files/146__20In_20the_20bakery.pdf
147. В кондитерской,https://russianpodcast.eu/wa_files/147__20In_20the_20pastry_20shop.mp3,https://russianpodcast.eu/wa_files/147__20In_20the_20pastry_20shop.pdf
148. В магазине игрушек,https://russianpodcast.eu/wa_files/148__20Buying_20toys.mp3,https://russianpodcast.eu/wa_files/148__20Buying_20toys.pdf
149. Соболезнования по случаю смерти,https://russianpodcast.eu/wa_files/149__20Giving_20condolences.mp3,https://russianpodcast.eu/wa_files/149__20Giving_20condolences.pdf
150. На балете,https://russianpodcast.eu/wa_files/150__20At_20the_20ballet.mp3,https://russianpodcast.eu/wa_files/150__20At_20the_20ballet.pdf
151. Урок химии,https://russianpodcast.eu/wa_files/151__20Chemistry_20lesson.mp3,https://russianpodcast.eu/wa_files/151__20Chemistry_20lesson.pdf
152. Знаки препинания,https://russianpodcast.eu/wa_files/152__20Punctuation.mp3,https://russianpodcast.eu/wa_files/152__20Punctuation.pdf
153. Забыла ключи!,https://russianpodcast.eu/wa_files/153__20Forgot_20my_20keys_21.mp3,https://russianpodcast.eu/wa_files/153__20Forgot_20my_20keys_21.pdf
154. Шашлыки,https://russianpodcast.eu/wa_files/154__20Having_20a_20barbecue.mp3,https://russianpodcast.eu/wa_files/154__20Having_20a_20barbecue.pdf
155. Числа,https://russianpodcast.eu/wa_files/155__20Numbers_20in_20Russian.mp3,https://russianpodcast.eu/wa_files/155__20Numbers_20in_20Russian.pdf
156. Развод,https://russianpodcast.eu/wa_files/156__20Divorce.mp3,https://russianpodcast.eu/wa_files/156__20Divorce.pdf
157. Беременность,https://russianpodcast.eu/wa_files/157__20Pregnancy.mp3,https://russianpodcast.eu/wa_files/157__20Pregnancy.pdf
158. Россия в 1990–х 1,https://russianpodcast.eu/wa_files/158__20Russia_20in_201990s_201.mp3,https://russianpodcast.eu/wa_files/158__20Russia_20in_201990s.pdf
159. Россия в 1990–х 2,https://russianpodcast.eu/wa_files/159__20Russia_20in_201990-2.mp3,https://russianpodcast.eu/wa_files/159__20Russia_20in_201990-2.pdf
160. Россия в 1990–х 3,https://russianpodcast.eu/wa_files/160__20Russia_20in_201990s_203.mp3,https://russianpodcast.eu/wa_files/160__20Russia_20in_201990s_203.pdf
161. Олимпийский подкаст 1,https://russianpodcast.eu/wa_files/161__20Olympic_20Podcast_201.mp3,https://russianpodcast.eu/wa_files/161__20Olympic_20Podcast_201.pdf
162. Олимпийский подкаст 2,https://russianpodcast.eu/wa_files/162__20Olympic_20Podcast_202.mp3,https://russianpodcast.eu/wa_files/162__20Olympic_20Podcast_202.pdf
163. Играем в карты,https://russianpodcast.eu/wa_files/163__20Playing_20cards.mp3,https://russianpodcast.eu/wa_files/163__20Playing_20cards.pdf
164. Мифические существа,https://russianpodcast.eu/wa_files/164__20Mythical_20creatures.mp3,https://russianpodcast.eu/wa_files/164__20Mythical_20creatures.pdf
165. Грамматика,https://russianpodcast.eu/wa_files/165__20Grammar_20terms.mp3,https://russianpodcast.eu/wa_files/165__20Grammar_20terms.pdf
166. Пасха,https://russianpodcast.eu/wa_files/166__20Russian_20Easter.mp3,https://russianpodcast.eu/wa_files/166__20Easter.pdf
167. Социальные сети,https://russianpodcast.eu/wa_files/167__20Social_20Networks.mp3,https://russianpodcast.eu/wa_files/167__20Social_20networks.pdf
168. Санкции,https://russianpodcast.eu/wa_files/168__20Talking_20about_20sanctions.mp3,https://russianpodcast.eu/wa_files/168__20Talking_20about_20sanctions.pdf
169. Травмы,https://russianpodcast.eu/wa_files/169__20Injuries.mp3,https://russianpodcast.eu/wa_files/169__20Injuries.pdf
170. Ласковые слова,https://russianpodcast.eu/wa_files/170__20Sweet_20words.mp3,https://russianpodcast.eu/wa_files/170__20Sweet_20words.pdf
